color_other,color_target,n_target,n_total,response1,response2,response3,rt,slide_number_in_experiment,prolificID,time_in_minutes,language_information.childhood_language,language_information.country_of_birth,language_information.country_of_residence,language_information.father_country_of_birth,language_information.mother_country_of_birth,language_information.preferred_language,subject_information.age,subject_information.assess,subject_information.colorblind,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.languages,system.Browser,system.OS,system.screenH,system.screenW,author,description,experiment_id,inserted_at,updated_at
white,black,70,100,很多,散散,,134064,3,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,36,100,少数,一些,,78248,4,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
white,black,8,10,有八个,大多数,,37832,13,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,5,5,所有,有五个,,21728,14,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,1,5,只有一个,百分之二十,,31847,15,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,24,100,只有少数,有二十几个,,34817,16,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,10,10,所有,有十个,,32424,17,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,3,10,少数,百分之三十,有三个,37559,18,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,2,5,五分之二,有两个,,33065,19,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
black,white,16,25,大多数,有几十个,,41712,20,5a4ab3c5f7b7bc00014e14ad,21.290566666666667,"Mandarin, English",China,United States,China,China,English,58,Yes,no,I don't understand the purpose of this one.,3,1,Male,none,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,chinese-free-production-pilot,2018-01-07 16:38:19.425190,2018-01-07 16:38:19.445031
